ticker,date,quarter,year,net_sentiment,avg_positive,avg_negative,avg_neutral,sentences_scored,same_day_close,next_day_open,next_day_close,overnight_gap,intraday_return,next_day_return,xlk_overnight_gap,abnormal_return
AAPL,2022-01-27,Q1,2022,0.277969,0.364426,0.086457,0.549117,343,155.8171,162.1684,166.6896,0.040761,0.02788,0.069778,0.012419,0.028342
AAPL,2022-04-28,Q2,2022,0.201536,0.334456,0.132919,0.532625,351,160.347,158.5832,154.4775,-0.011,-0.02589,-0.036605,-0.01091,-9e-05
AAPL,2022-07-28,Q3,2022,0.167197,0.305305,0.138109,0.556586,350,154.409,158.2263,159.4726,0.024722,0.007876,0.032793,0.003098,0.021624
AAPL,2022-10-27,Q4,2022,0.234396,0.353883,0.119487,0.52663,377,142.2913,145.6323,153.0417,0.023481,0.050877,0.075552,0.005556,0.017924
AAPL,2023-02-02,Q1,2023,0.217909,0.353444,0.135535,0.51102,352,148.4533,145.7071,152.0755,-0.018499,0.043707,0.0244,-0.017208,-0.001291
AAPL,2023-05-04,Q2,2023,0.228835,0.337191,0.108356,0.554454,333,163.4369,168.5483,171.1065,0.031275,0.015178,0.046927,0.009692,0.021582
AAPL,2023-08-03,Q3,2023,0.273959,0.376386,0.102427,0.521187,351,188.7188,183.1412,179.6565,-0.029555,-0.019028,-0.04802,-0.0034,-0.026155
AAPL,2023-11-03,Q4,2023,0.266369,0.35917,0.092801,0.548029,359,174.6204,174.3535,177.1707,-0.001528,0.016158,0.014605,0.001339,-0.002868
AAPL,2024-02-01,Q1,2024,0.29556,0.384576,0.089017,0.526407,320,184.9509,178.0224,183.9512,-0.037461,0.033304,-0.005405,-0.006794,-0.030667
AAPL,2024-05-02,Q2,2024,0.246603,0.347189,0.100586,0.552226,368,171.4798,184.9729,181.7371,0.078686,-0.017493,0.059816,0.027048,0.051638
AAPL,2024-08-01,Q3,2024,0.272123,0.352953,0.08083,0.566217,340,216.6993,217.4833,218.1879,0.003618,0.00324,0.006869,-0.026586,0.030204
AAPL,2024-10-31,Q4,2024,0.299178,0.353284,0.054107,0.592609,333,224.4495,219.5365,221.4689,-0.021889,0.008802,-0.01328,0.00108,-0.022969
ACN,2021-12-16,Q4,2021,0.259079,0.323594,0.064515,0.611891,365,369.4191,365.5091,365.3984,-0.010584,-0.000303,-0.010884,-0.011005,0.000421
ACN,2022-03-17,Q1,2022,0.244461,0.317277,0.072816,0.609907,391,295.3892,297.5804,299.5034,0.007418,0.006462,0.013928,-0.003554,0.010971
ACN,2022-06-23,Q2,2022,0.273201,0.34551,0.072309,0.58218,335,265.0474,264.6579,277.6029,-0.001469,0.048912,0.047371,0.011489,-0.012958
ACN,2022-09-22,Q3,2022,0.322801,0.395941,0.073141,0.530918,345,244.1137,241.1544,241.9361,-0.012123,0.003241,-0.00892,-0.009092,-0.00303
ACN,2022-12-16,Q4,2022,0.251945,0.357711,0.105766,0.536523,385,247.2261,245.9922,238.7385,-0.004991,-0.029488,-0.034332,0.00016,-0.005151
ACN,2023-03-23,Q1,2023,0.244242,0.340258,0.096016,0.563726,370,254.9496,253.814,255.2686,-0.004454,0.005731,0.001252,-0.00316,-0.001294
ACN,2023-06-22,Q2,2023,0.291405,0.360267,0.068862,0.570871,401,289.4884,282.6764,281.1783,-0.023531,-0.0053,-0.028706,-0.012317,-0.011215
ACN,2023-09-28,Q3,2023,0.281743,0.353987,0.072244,0.573769,416,284.3942,287.7793,290.389,0.011903,0.009069,0.021079,0.009855,0.002048
ACN,2023-12-19,Q4,2023,0.264086,0.349118,0.085032,0.56585,439,324.2489,328.0942,322.3405,0.011859,-0.017537,-0.005886,-0.001142,0.013001
ACN,2024-03-21,Q1,2024,0.216408,0.321744,0.105336,0.572919,395,328.7859,333.8364,321.6105,0.015361,-0.036623,-0.021824,4.8e-05,0.015313
ACN,2024-06-20,Q2,2024,0.339025,0.408382,0.069357,0.52226,363,292.9061,293.7384,295.604,0.002842,0.006351,0.009211,0.000219,0.002623
ACN,2024-09-26,Q3,2024,0.261226,0.332805,0.071578,0.595617,434,341.8803,342.38,336.0095,0.001461,-0.018606,-0.017172,0.001408,5.3e-05
ADBE,2022-03-22,Q1,2022,0.326731,0.374938,0.048206,0.576856,420,466.45,437.51,422.9,-0.062043,-0.033394,-0.093365,-0.009317,-0.052727
ADBE,2022-06-16,Q2,2022,0.305577,0.362007,0.05643,0.581563,451,365.08,349.24,360.79,-0.043388,0.033072,-0.011751,-0.000162,-0.043226
ADBE,2022-09-15,Q3,2022,0.337441,0.376456,0.039015,0.584528,416,309.13,298.32,299.5,-0.034969,0.003955,-0.031152,-0.008731,-0.026239
ADBE,2022-12-15,Q4,2022,0.343387,0.386999,0.043612,0.569389,378,328.71,345.0,338.54,0.049557,-0.018725,0.029905,-0.003406,0.052963
ADBE,2023-03-15,Q1,2023,0.291157,0.33449,0.043333,0.622177,387,333.61,344.57,353.29,0.032853,0.025307,0.058991,-0.003507,0.036359
ADBE,2023-06-15,Q2,2023,0.366264,0.395393,0.029129,0.575477,444,490.91,518.23,495.18,0.055652,-0.044478,0.008698,0.009506,0.046146
ADBE,2023-09-14,Q3,2023,0.296715,0.325279,0.028565,0.646156,406,552.16,532.11,528.89,-0.036312,-0.006051,-0.042144,-0.0036,-0.032712
ADBE,2023-12-13,Q4,2023,0.382108,0.422914,0.040806,0.53628,391,624.26,593.0,584.64,-0.050075,-0.014098,-0.063467,0.000784,-0.05086
ADBE,2024-03-14,Q1,2024,0.31234,0.349071,0.036731,0.614199,469,570.45,499.64,492.46,-0.12413,-0.01437,-0.136717,-0.014369,-0.109761
ADBE,2024-06-13,Q2,2024,0.326152,0.353144,0.026993,0.619863,427,458.74,530.25,525.31,0.155884,-0.009316,0.145115,-0.001411,0.157294
ADBE,2024-09-12,Q3,2024,0.312492,0.358054,0.045562,0.596384,381,586.55,532.565,536.87,-0.092038,0.008084,-0.084699,0.001231,-0.093269
ADBE,2024-12-11,Q4,2024,0.357725,0.403866,0.04614,0.549994,386,549.93,487.5,474.63,-0.113524,-0.0264,-0.136927,-0.006392,-0.107132
ADI,2022-02-16,Q1,2022,0.322653,0.384425,0.061773,0.553802,309,156.2956,154.2437,148.9516,-0.013128,-0.03431,-0.046988,-0.009323,-0.003805
ADI,2022-05-18,Q2,2022,0.342992,0.40817,0.065178,0.526652,268,149.1843,150.0518,150.1358,0.005815,0.00056,0.006378,-0.007488,0.013303
ADI,2022-08-17,Q3,2022,0.263479,0.364181,0.100703,0.535116,285,159.4287,157.1797,159.4287,-0.014107,0.014309,0.0,0.001,-0.015106
ADI,2022-11-22,Q4,2022,0.267087,0.372781,0.105694,0.521525,310,158.6086,159.4703,159.3337,0.005433,-0.000856,0.004572,-0.002177,0.00761
ADI,2023-02-15,Q1,2023,0.296519,0.37455,0.078031,0.547418,282,185.5731,184.036,183.3502,-0.008283,-0.003726,-0.011979,-0.014505,0.006222
ADI,2023-05-24,Q2,2023,0.192707,0.334423,0.141716,0.52386,314,164.6058,158.2477,163.8359,-0.038626,0.035313,-0.004677,0.02657,-0.065196
ADI,2023-08-23,Q3,2023,0.123182,0.285273,0.162092,0.552635,297,169.4802,168.8022,165.861,-0.004,-0.017424,-0.021355,0.012577,-0.016577
